date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:12	345/345	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jun%202017%2019:33:11%20GMT	//openbook.rheinwerk-verlag.de/robots.txt		(from )
21:33:12	110218/110218	---M--	200	added ('OK')	text/html	etag:%22-1856211391%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/index.html	(from )
21:33:13	8510/8510	---M--	200	added ('OK')	text/css	etag:%22-35049316%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/rw_open.css	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/rw_open.css	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:14	675/675	---M--	200	added ('OK')	text/css	etag:%221644396913%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/prettify.css	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/prettify.css	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:15	13632/13632	---M--	200	added ('OK')	application/x-javascript	etag:%222098457063%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/prettify.js	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/prettify.js	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:16	3091/3091	---M--	200	added ('OK')	image/gif	etag:%22-161900860%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/rw_openbook.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/rw_openbook.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:17	2946/2946	---M--	200	added ('OK')	image/gif	etag:%22-2119531458%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/rw_computing.gif	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/common/rw_computing.gif	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:20	110218/110218	---M--	200	added ('OK')	text/html	etag:%22-1856211391%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/index.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/index-2.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:21	23016/23016	---M--	200	added ('OK')	text/html	etag:%2269816543%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/000_c_vorwort_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/000_c_vorwort_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:21	20303/20303	---M--	200	added ('OK')	text/html	etag:%22854419718%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/000_c_vorwort_gutachter_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/000_c_vorwort_gutachter_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:23	26548/26548	---M--	200	added ('OK')	text/html	etag:%22-2031265650%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/001_c_einstieg_in_c_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/001_c_einstieg_in_c_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:25	20776/20776	---M--	200	added ('OK')	text/html	etag:%221122854920%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/002_c_das_erste_programm_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/002_c_das_erste_programm_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:27	38061/38061	---M--	200	added ('OK')	text/html	etag:%22-1762907699%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/003_c_grundlagen_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/003_c_grundlagen_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:27	41994/41994	---M--	200	added ('OK')	text/html	etag:%22-823434349%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/004_c_ein_ausgabe_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/004_c_ein_ausgabe_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:29	33993/33993	---M--	200	added ('OK')	text/html	etag:%22-1494453357%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/005_c_basisdatentypen_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/005_c_basisdatentypen_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:31	26568/26568	---M--	200	added ('OK')	text/html	etag:%22384653497%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/006_c_operatoren_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/006_c_operatoren_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:33	34640/34640	---M--	200	added ('OK')	text/html	etag:%22183257213%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/007_c_typumwandlung_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/007_c_typumwandlung_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:35	39012/39012	---M--	200	added ('OK')	text/html	etag:%22854335991%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/008_c_kontrollstrukturen_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/008_c_kontrollstrukturen_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:37	31681/31681	---M--	200	added ('OK')	text/html	etag:%22-1897110204%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/009_c_funktionen_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/009_c_funktionen_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:39	32048/32048	---M--	200	added ('OK')	text/html	etag:%22585923807%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/010_c_praeprozessor_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/010_c_praeprozessor_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:41	34167/34167	---M--	200	added ('OK')	text/html	etag:%221793871003%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/011_c_arrays_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/011_c_arrays_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:43	28255/28255	---M--	200	added ('OK')	text/html	etag:%22-152228772%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/012_c_zeiger_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/012_c_zeiger_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:45	30891/30891	---M--	200	added ('OK')	text/html	etag:%221478319832%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/013_c_kommandozeilenargumente_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/013_c_kommandozeilenargumente_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:47	31004/31004	---M--	200	added ('OK')	text/html	etag:%22-756259631%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/014_c_dyn_speicherverwaltung_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/014_c_dyn_speicherverwaltung_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:49	26485/26485	---M--	200	added ('OK')	text/html	etag:%221257070017%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/015_c_strukturen_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/015_c_strukturen_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:51	39319/39319	---M--	200	added ('OK')	text/html	etag:%22-1830018041%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/016_c_ein_ausgabe_funktionen_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/016_c_ein_ausgabe_funktionen_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:53	60443/60443	---M--	200	added ('OK')	text/html	etag:%22719941068%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/017_c_dateien_verzeichnisse_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/017_c_dateien_verzeichnisse_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:55	24828/24828	---M--	200	added ('OK')	text/html	etag:%22-1494397248%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/018_c_stdarg_h_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/018_c_stdarg_h_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:57	47329/47329	---M--	200	added ('OK')	text/html	etag:%22518738947%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/019_c_zeitroutinen_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/019_c_zeitroutinen_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
21:33:59	32298/32298	---M--	200	added ('OK')	text/html	etag:%22384597077%22	//openbook.rheinwerk-verlag.de/c_von_a_bis_z/020_c_headerdateien_001.htm	/Users/luki/websites/CvonAbisZ/openbook.rheinwerk-verlag.de/c_von_a_bis_z/020_c_headerdateien_001.html	(from //openbook.rheinwerk-verlag.de/c_von_a_bis_z/)
