date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:16	345/345	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20May%202017%2019:37:15%20GMT	http://openbook.rheinwerk-verlag.de/robots.txt		(from )
21:37:17	77812/77812	---M--	200	added ('OK')	text/html	etag:%22607811558%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/index.html	(from )
21:37:18	6730/6730	---M--	200	added ('OK')	text/css	etag:%22-1581586287%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/common/rw_open.css	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/common/rw_open.css	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:37:19	19743/19743	---M--	200	added ('OK')	text/html	etag:%22-1271135220%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap00a-000.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap00a-000.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:37:20	3091/3091	---M--	200	added ('OK')	image/gif	etag:%22-160900908%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/common/rw_openbook.gif	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/common/rw_openbook.gif	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:37:21	2946/2946	---M--	200	added ('OK')	image/gif	etag:%22-2120496594%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/common/rw_computing.gif	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/common/rw_computing.gif	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:37:22	77812/77812	---M--	200	added ('OK')	text/html	etag:%22607811558%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/index.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/index-2.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:37:24	22053/22053	---M--	200	added ('OK')	text/html	etag:%22-1136697906%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap00b-000.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap00b-000.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:37:24	23908/23908	---M--	200	added ('OK')	text/html	etag:%22272586628%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap01-000.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap01-000.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
21:37:26	37973/37973	---M--	200	added ('OK')	text/html	etag:%22540964746%22	http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap02-000.htm	/Users/luki/websites/Linux-UNIX-Programmierung/openbook.rheinwerk-verlag.de/linux_unix_programmierung/Kap02-000.html	(from http://openbook.rheinwerk-verlag.de/linux_unix_programmierung/)
