date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:51:24	345/345	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20May%202017%2019:51:22%20GMT	http://openbook.rheinwerk-verlag.de/robots.txt		(from )
21:51:24	69235/69235	---M--	200	added ('OK')	text/html	etag:%221996718115%22	http://openbook.rheinwerk-verlag.de/shell_programmierung/	/Users/luki/websites/Shell-Programmierung/openbook.rheinwerk-verlag.de/shell_programmierung/index.html	(from )
21:51:25	6730/6730	---M--	200	added ('OK')	text/css	etag:%221042865737%22	http://openbook.rheinwerk-verlag.de/shell_programmierung/common/rw_open.css	/Users/luki/websites/Shell-Programmierung/openbook.rheinwerk-verlag.de/shell_programmierung/common/rw_open.css	(from http://openbook.rheinwerk-verlag.de/shell_programmierung/)
21:51:26	22801/22801	---M--	200	added ('OK')	text/html	etag:%22856152741%22	http://openbook.rheinwerk-verlag.de/shell_programmierung/shell_001_000.htm	/Users/luki/websites/Shell-Programmierung/openbook.rheinwerk-verlag.de/shell_programmierung/shell_001_000.html	(from http://openbook.rheinwerk-verlag.de/shell_programmierung/)
21:51:28	3091/3091	---M--	200	added ('OK')	image/gif	etag:%22-225879484%22	http://openbook.rheinwerk-verlag.de/shell_programmierung/common/rw_openbook.gif	/Users/luki/websites/Shell-Programmierung/openbook.rheinwerk-verlag.de/shell_programmierung/common/rw_openbook.gif	(from http://openbook.rheinwerk-verlag.de/shell_programmierung/)
21:51:28	2946/2946	---M--	200	added ('OK')	image/gif	etag:%22-2143663938%22	http://openbook.rheinwerk-verlag.de/shell_programmierung/common/rw_computing.gif	/Users/luki/websites/Shell-Programmierung/openbook.rheinwerk-verlag.de/shell_programmierung/common/rw_computing.gif	(from http://openbook.rheinwerk-verlag.de/shell_programmierung/)
21:51:29	69235/69235	---M--	200	added ('OK')	text/html	etag:%221996718115%22	http://openbook.rheinwerk-verlag.de/shell_programmierung/index.htm	/Users/luki/websites/Shell-Programmierung/openbook.rheinwerk-verlag.de/shell_programmierung/index-2.html	(from http://openbook.rheinwerk-verlag.de/shell_programmierung/)
21:51:31	21623/21623	---M--	200	added ('OK')	text/html	etag:%22-1291337440%22	http://openbook.rheinwerk-verlag.de/shell_programmierung/shell_002_000.htm	/Users/luki/websites/Shell-Programmierung/openbook.rheinwerk-verlag.de/shell_programmierung/shell_002_000.html	(from http://openbook.rheinwerk-verlag.de/shell_programmierung/)
21:51:33	45987/45987	---M--	200	added ('OK')	text/html	etag:%22-16653580%22	http://openbook.rheinwerk-verlag.de/shell_programmierung/shell_003_000.htm	/Users/luki/websites/Shell-Programmierung/openbook.rheinwerk-verlag.de/shell_programmierung/shell_003_000.html	(from http://openbook.rheinwerk-verlag.de/shell_programmierung/)
21:51:35	39675/39675	---M--	200	added ('OK')	text/html	etag:%221527152938%22	http://openbook.rheinwerk-verlag.de/shell_programmierung/shell_004_000.htm	/Users/luki/websites/Shell-Programmierung/openbook.rheinwerk-verlag.de/shell_programmierung/shell_004_000.html	(from http://openbook.rheinwerk-verlag.de/shell_programmierung/)
